Map File,Map Name
,---
,？？？
c0000,Capital - Station Plaza
c0010,Heimdallr Central Station
c0020,Railway Military Police - Command Post
c0100,Capital - Vainqueur Street
c0110,Le Sage Boutique - Head Store
c0120,Department Store - Plaza Bifrost
c0130,Watson's Weapons & Armor
c0140,Imperial Chronicle Building
c0150,Lumiere Orbal Factory
c0200,Capital - Garnier District
c0210,Heimdallr Opera House
c0220,San Corries Jewelers
c0230,Hotel - Der Himmel
c0300,Capital - Alto Street
c0310,Alto Street - Craig Family Home
c0330,Former Guild Branch
c0350,Concert Cafe - Etoile
c0360,Alto Street - House
c0400,Capital - Ost District
c0410,Ost District - Regnitz Family Home
c0430,Gamgee's Pub
c0440,Emmrod's Used Goods
c0450,Ost District - House 1
c0460,Ost District - House 2
c0500,"Capital - Heimdallr Port "
c0600,Capital - Sankt District
c0610,St. Astraia - Rose Garden
c0620,St. Astraia - Communion Room
c0700,Capital - Mater Park
c0710,Crystal Garden
c0800,"Capital - Dreichels Plaza "
c0910,"Palace - Chancellor's Office "
c0920,★Unused
c0930,Valflame Palace - Parlor
c0940,Valflame Palace - Audience Chamber
c0950,Valflame Palace - Reception Hall
c0960,Valflame Palace - Terrace
t0000,Thors Military Academy
t0010,Main Building 1F
t0020,Main Building 2F
t0030,Gate of Avalon
t0031,Stella Garten
t0032,Eastern Teahouse
t0050,Gymnasium
t0060,Academy - Library
t0070,Academy - Auditorium
t0080,Student Union Building
t0090,Academy - Engineering Building
,Main Building - Rooftop
,Front Gate
,Courtyard
t0200,Old Schoolhouse
t0201,Old Schoolhouse
t0210,Old Schoolhouse - 1F
t1000,Trista
t1010,Class VII Dormitory
t1020,Brandon's General Goods
t1030,Keynes' Bookstore
t1040,Boutique - Le Sage
t1050,Kirsche's Cafe & Inn
t1060,Micht's Pawn Shop
t1070,Trista - Home
t1080,Trista - House
t1090,Trista Station
t1110,Trista Chapel
t1120,Trista Radio Station
t1150,Upper Class Dorm
t1160,Lower Class Dorm
t1500,"Celdic, the Market Town"
t1510,Weathercock Inn
t1530,Celdic - Market Manager's House
t1540,Celdic - House
t1550,Oddvin's Arms & Orbal Factory
t1560,Celdic Chapel
t1570,Celdic Station
,Provincial Army Guardhouse
,Celdic Grand Market
t1600,East Highway - Farmhouse
t1610,West Highway - Farmhouse
t2000,Bareahard - Station Street
t2010,Bareahard Station
t2020,Christie's Galleria
,Bareahard Airport
t2100,Bareahard Central Plaza
t2110,Hotel Esmeralda
t2120,Sorciere Restaurant
t2130,Bareahard Cathedral
t2200,Bareahard - Noble District
t2210,Bareahard - Residence 1
t2220,Bareahard - Residence 2
t2300,Bareahard - Artisans' Street
t2310,Davos' Factory
t2320,Alouette Inn
t2330,Turner's Jewelers
t2340,Valenty Tailoring
t3000,"Legram, the Lakeside Town"
t3010,Bracer Guild - Legram Branch
t3020,Watteau's Store
t3030,Legram - House 2
t3040,Legram - House 1
t3050,Arseid School Training Hall
t3060,Viscount Arseid's Mansion
t3070,Mansion - Terrace
t3090,Legram Chapel
t3100,Aprikoze Inn
t3000,Legram Station
t3500,"Roer, the Industrial Metropolis"
t3510,Reinford Corporate HQ - Entrance Hall
t3520,23F - Executive Floor
